,D/P
2017-02-01,-4.039924725056174
2017-03-01,-4.040484442059867
2017-04-01,-4.015391502639577
2017-05-01,-3.9645062197969807
2017-06-01,-4.0186906794703425
2017-07-01,-3.8972548781862635
2017-08-01,-3.919472188659306
2017-09-01,-3.9327838240965853
2017-10-01,-3.9476853509964336
2017-11-01,-3.931015549501268
2017-12-01,-3.939761990388
2018-01-01,-3.9721861688317723
2018-02-01,-3.920361154334671
2018-03-01,-3.9027934700302644
2018-04-01,-3.8748841789836597
2018-05-01,-3.8035161528437342
2018-06-01,-3.6885844875416858
2018-07-01,-3.6810990774232586
2018-08-01,-3.6224823421211454
2018-09-01,-3.644192667364848
2018-10-01,-3.549947475683471
2018-11-01,-3.573022152312067
2018-12-01,-3.5314647966686437
2019-01-01,-3.572470540901879
2019-02-01,-3.7190411043102856
2019-03-01,-3.7861742265950262
2019-04-01,-3.7650331647713102
2019-05-01,-3.7061517858616995
2019-06-01,-3.666211396753482
2019-07-01,-3.667364214501088
2019-08-01,-3.6579878654521814
2019-09-01,-3.6711255127454017
2019-10-01,-3.6863313068659593
2019-11-01,-3.670675158304448
2019-12-01,-3.751650312573485
