,E12,net_E12
2013-03-31,2621354246809.901,2038123606467.3772
2013-04-30,2642266634489.994,2051734054893.3438
2013-05-31,2663179022170.0874,2065344503319.3105
2013-06-30,2684091409850.1807,2078954951745.2773
2013-07-31,2709817943162.5474,2099011188739.554
2013-08-31,2735544476474.914,2119067425733.8308
2013-09-30,2761271009787.281,2139123662728.1077
2013-10-31,2795019559402.071,2163823028600.931
2013-11-30,2828768109016.861,2188522394473.7542
2013-12-31,2862516658631.651,2213221760346.577
2014-01-31,2908314332363.1343,2250072364666.274
2014-02-28,2954112006094.6177,2286922968985.9707
2014-03-31,2999909679826.101,2323773573305.6675
2014-04-30,3025943110496.9043,2346342399549.441
2014-05-31,3051976541167.7075,2368911225793.2144
2014-06-30,3078009971838.5107,2391480052036.988
2014-07-31,3100913297939.6875,2408958263584.8677
2014-08-31,3123816624040.8643,2426436475132.7476
2014-09-30,3146719950142.041,2443914686680.6274
2014-10-31,3180684177391.6074,2469957017185.347
2014-11-30,3214648404641.174,2495999347690.067
2014-12-31,3248612631890.74,2522041678194.7866
2015-01-31,3273692690443.0835,2541593063127.373
2015-02-28,3298772748995.427,2561144448059.9595
2015-03-31,3323852807547.77,2580695832992.546
2015-04-30,3323220139260.3667,2574695579751.2026
2015-05-31,3322587470972.9634,2568695326509.8594
2015-06-30,3321954802685.56,2562695073268.516
2015-07-31,3337363393482.4067,2572439261785.4766
2015-08-31,3352771984279.2534,2582183450302.4365
2015-09-30,3368180575076.1,2591927638819.3965
2015-10-31,3424595481563.9604,2636830535993.0
2015-11-30,3481010388051.821,2681733433166.6035
2015-12-31,3537425294539.681,2726636330340.207
2016-01-31,3512364818465.405,2703962781319.914
2016-02-29,3487304342391.1284,2681289232299.621
2016-03-31,3462243866316.852,2658615683279.328
2016-04-30,3459825880666.5557,2654178956647.5312
2016-05-31,3457407895016.2593,2649742230015.7344
2016-06-30,3454989909365.963,2645305503383.9375
2016-07-31,3457089008984.7993,2648911965776.117
2016-08-31,3459188108603.6357,2652518428168.297
2016-09-30,3461287208222.472,2656124890560.4766
2016-10-31,3439281443809.609,2645461907747.683
2016-11-30,3417275679396.7456,2634798924934.8896
2016-12-31,3395269914983.8823,2624135942122.096
2017-01-31,3451275841975.046,2673651435587.1523
2017-02-28,3507281768966.209,2723166929052.209
2017-03-31,3563287695957.372,2772682422517.2656
2017-04-30,3629878183540.1987,2834156267101.446
2017-05-31,3696468671123.0254,2895630111685.626
2017-06-30,3763059158705.852,2957103956269.806
2017-07-31,3828088454546.8022,3014502330284.706
2017-08-31,3893117750387.7524,3071900704299.606
2017-09-30,3958147046228.7026,3129299078314.506
2017-10-31,4011726827305.449,3174528913414.736
2017-11-30,4065306608382.196,3219758748514.966
2017-12-31,4118886389458.942,3264988583615.196
2018-01-31,4192919556410.402,3331242408485.546
2018-02-28,4266952723361.862,3397496233355.8955
2018-03-31,4340985890313.322,3463750058226.245
2018-04-30,4390107351934.5254,3504455422503.765
2018-05-31,4439228813555.729,3545160786781.285
2018-06-30,4488350275176.932,3585866151058.805
2018-07-31,4546148412381.685,3632736222625.352
2018-08-31,4603946549586.4375,3679606294191.899
2018-09-30,4661744686791.19,3726476365758.446
2018-10-31,4735715528259.703,3785032184492.2925
2018-11-30,4809686369728.217,3843588003226.139
2018-12-31,4883657211196.73,3902143821959.986
2019-01-31,4915611206905.668,3925036353145.4194
2019-02-28,4947565202614.605,3947928884330.853
2019-03-31,4979519198323.543,3970821415516.2866
2019-04-30,4876767508949.909,3871668483942.0967
2019-05-31,4774015819576.275,3772515552367.9067
2019-06-30,4671264130202.642,3673362620793.717
2019-07-31,4721839568077.425,3715834653543.3203
2019-08-31,4772415005952.208,3758306686292.924
2019-09-30,4822990443826.991,3800778719042.5273
2019-10-31,4841592455465.631,3827263166110.3643
2019-11-30,4860194467104.271,3853747613178.201
2019-12-31,4878796478742.912,3880232060246.038
