,D/E1,D/E2
2004-04-01,-1.2027920451364267,-0.8867033602278269
2004-05-01,-1.1393292435178495,-0.8296054720366968
2004-06-01,-1.1312050383325811,-0.8275606496719483
2004-07-01,-1.1494156447063588,-0.848113173391603
2004-08-01,-1.1840918790464556,-0.8849520799676078
2004-09-01,-1.2233411713527964,-0.9262046239641499
2004-10-01,-1.2594606892994626,-0.9642247994846223
2004-11-01,-1.310058528347433,-1.016570984818209
2004-12-01,-1.349632502622029,-1.0577585995957044
2005-01-01,-1.382979497848165,-1.0914132877291216
2005-02-01,-1.4158128832204468,-1.124535283212488
2005-03-01,-1.4563867192468756,-1.1653803684140804
2005-04-01,-1.4411849656536013,-1.1402426278123698
2005-05-01,-1.3881591234526773,-1.0771534232891966
2005-06-01,-1.2354350910831364,-0.9142356685948698
2005-07-01,-1.1980744442606515,-0.8736049983379104
2005-08-01,-1.1640652345911384,-0.8363838407369428
2005-09-01,-1.171467852078841,-0.8406310361494462
2005-10-01,-1.183446055804147,-0.8462583956713701
2005-11-01,-1.1872395624047947,-0.8437541976296501
2005-12-01,-1.1957732488075905,-0.8460425314389539
2006-01-01,-1.177212586688622,-0.821634448103552
2006-02-01,-1.157701899606721,-0.7960908086354337
2006-03-01,-1.1377203432302636,-0.7698816811487781
2006-04-01,-1.1314614808668608,-0.7617570563990128
2006-05-01,-1.0940705299274676,-0.7224709410043673
2006-06-01,-1.0875390242482688,-0.7140141647865086
2006-07-01,-1.058650726366949,-0.6827985243628305
2006-08-01,-1.0778179788275573,-0.699562459661152
2006-09-01,-1.039262114798266,-0.6585235146113391
2006-10-01,-1.0601163954358377,-0.6826604160476073
2006-11-01,-1.0878049047161902,-0.7134857715358827
2006-12-01,-1.1028194373332738,-0.7315008896365605
2007-01-01,-1.23015700452952,-0.8623878384235155
2007-02-01,-1.3445390911714625,-0.9795809953860619
2007-03-01,-1.4422614964985137,-1.0795848315296865
2007-04-01,-1.5962407447409959,-1.2489470517186554
2007-05-01,-1.769399648252783,-1.433642070910473
2007-06-01,-1.6378372439282245,-1.3110520917098647
2007-07-01,-1.4904836271818276,-1.1633735971001649
2007-08-01,-1.5455907831290823,-1.2182034524460654
2007-09-01,-1.615623352136467,-1.2879965598774632
2007-10-01,-1.6895003794060557,-1.3642398228166641
2007-11-01,-1.7718530249937778,-1.4485899026394193
2007-12-01,-1.849720521281835,-1.5281660234983008
2008-01-01,-1.9202516340664566,-1.6000077058143347
2008-02-01,-1.9854451231786925,-1.666343110695923
2008-03-01,-2.0430993482542554,-1.7250011857150866
2008-04-01,-2.097602759966321,-1.7871801790103987
2008-05-01,-2.071716994998031,-1.7676021910100168
2008-06-01,-1.6870766196120925,-1.3882375926898582
2008-07-01,-1.6249390338988547,-1.3334377589373183
2008-08-01,-1.654330160669474,-1.3695879556527473
2008-09-01,-1.6991281474892546,-1.4206323266713596
2008-10-01,-1.6212931974834106,-1.34855367139998
2008-11-01,-1.5613443451776554,-1.2940740172368983
2008-12-01,-1.5798125706259256,-1.3177453761849414
2009-01-01,-1.5711418630733682,-1.3142272868027263
2009-02-01,-1.5628176397863847,-1.3111193566033243
2009-03-01,-1.5572677818990712,-1.3108507266826486
2009-04-01,-1.4596649756347624,-1.2244768649581843
2009-05-01,-1.3644979773241666,-1.1433764935866328
2009-06-01,-1.194866642034647,-0.9918828287583104
2009-07-01,-1.1350813129547,-0.930141161073113
2009-08-01,-1.1137216169802855,-0.9067184132319923
2009-09-01,-1.0914850885385547,-0.8823031386710376
2009-10-01,-1.0751043821191857,-0.8652420029777801
2009-11-01,-1.153450148836697,-0.9429038613011862
2009-12-01,-1.1545675110355091,-0.9433338090723318
2010-01-01,-1.1881632881255655,-0.9755377318661367
2010-02-01,-1.2206924165959911,-1.0067623431533796
2010-03-01,-1.2458136449337296,-1.030658420032136
2010-04-01,-1.3392505900000522,-1.1115113474192952
2010-05-01,-1.3944575977955793,-1.1563437905403902
2010-06-01,-1.4584553478255664,-1.2116410607804085
2010-07-01,-1.347468407411153,-1.1026076786966108
2010-08-01,-1.3933452711198377,-1.1502810578022178
2010-09-01,-1.399854532495489,-1.1584479990796517
2010-10-01,-1.443395937904132,-1.2022849876684596
2010-11-01,-1.4717729686058831,-1.2309409950884849
2010-12-01,-1.497572514454255,-1.257004272441673
2011-01-01,-1.5389922712453625,-1.298999436571357
2011-02-01,-1.5770877328127817,-1.3376249870299581
2011-03-01,-1.6161875489286182,-1.3772147246587814
2011-04-01,-1.6386906015101452,-1.4003480120397178
2011-05-01,-1.6677029237185863,-1.4299501640734178
2011-06-01,-1.608257259746246,-1.3710576899634006
2011-07-01,-1.5292874527821603,-1.2906360038575606
2011-08-01,-1.5486592082405082,-1.3086313295622283
2011-09-01,-1.5782458767660685,-1.3369112841743096
2011-10-01,-1.6002866918351337,-1.3577397277613308
2011-11-01,-1.6203070972557008,-1.3766062788238003
2011-12-01,-1.6424498387219586,-1.3976495455359412
