,D/E,D/P,D/Y,E/P,B/M,SVAR,INF,NTIS,TO,M0G,M1G,M2G
2012/5/1,-0.003112255,0.022176207,0.024597081,0.018445719,0.022431348,0.00628727,0.010950199,-0.000777512,0.004926169,0.010596351,0.01951446,0.010448757
2012/6/1,-0.002312037,0.022072956,0.023492712,0.017965718,0.021856183,0.006344551,0.006020294,-0.000781612,0.010874724,0.011040671,0.005101458,0.010509889
2012/7/1,-0.008356917,0.02007439,0.02029413,0.016713339,0.021767693,0.006139045,0.002419826,-0.001041499,0.000379606,0.010303368,0.005962627,0.010480806
2012/8/1,0.003182031,0.023800998,0.024940669,0.015162002,0.022312907,0.005514963,-0.002968258,-0.001342962,0.003005409,0.009901782,0.021004382,0.010115163
2012/9/1,0.004152657,0.023494375,0.025387691,0.014207887,0.021060638,0.004965296,0.008500393,-0.001471932,0.004747391,0.009694368,0.004057651,0.009598878
2012/10/1,0.004292903,0.023204189,0.025682065,0.01429054,0.02057284,0.007416,0.016904206,-0.00136585,0.004635124,0.009135757,0.01098675,0.009788972
2012/11/1,0.004154281,0.022607545,0.024628738,0.013691354,0.019899187,0.00455569,0.01174512,-0.001421786,0.00067169,0.010241383,0.005360269,0.009540507
2012/12/1,0.003638543,0.021599898,0.023017912,0.011956967,0.017963407,0.004784535,0.004743674,-0.001722803,0.001515519,0.009203543,0.011674231,0.009007315
2013/1/1,0.004414271,0.022322558,0.026277755,0.014800959,0.019950198,0.008376669,0.008788786,-0.000989643,0.016485025,0.009695326,0.003461189,0.010526356
2013/2/1,0.004783772,0.022067657,0.024534224,0.01525266,0.020303715,0.006665701,0.020358277,-0.000736799,0.02291143,0.009235952,0.017378238,0.010410784
2013/3/1,0.004792286,0.021689701,0.023301297,0.01494433,0.01977944,0.006075391,0.023588795,-0.000739442,0.006867115,0.01048983,0.02300853,0.009720947
2013/4/1,0.004585707,0.021268416,0.022175141,0.013908992,0.019216244,0.007767748,0.023616369,-0.001000896,0.018482014,0.010295426,-0.010703733,0.011369278
2013/5/1,0.003768214,0.020683878,0.022116408,0.013225514,0.019207622,0.005323657,-0.007182541,-0.001133194,0.004265853,0.009634754,0.022587524,0.008935673
2013/6/1,0.004414087,0.02074795,0.023400619,0.014149585,0.019330224,0.005332808,0.010854484,-0.00076355,0.019506689,0.01002606,0.005616734,0.009908383
2013/7/1,0.001880371,0.019971878,0.019568116,0.011935381,0.018272779,0.008821443,-0.001600695,-0.001346013,0.00913822,0.009196674,0.008655468,0.009176623
2013/8/1,0.008150046,0.021373725,0.023583244,0.012167133,0.018806809,0.00767203,0.006764443,-0.001228505,0.022878727,0.009292464,0.014046815,0.008913704
2013/9/1,0.00769275,0.021286251,0.023790839,0.012859768,0.019049805,0.005121473,0.008441538,-0.000993591,0.025875286,0.009503813,0.004492992,0.009486826
