,ridge,lasso,elastic net,lars,OMP
2007-04-01,0.06222276688312518,0.06361021787138345,0.06359667196268826,0.02743520505634569,0.07077518784230355
2007-05-01,0.07689251810012407,0.06953708692831898,0.06964362724504618,0.03751552148979988,0.07241159818215845
2007-06-01,0.06831520494468207,0.05882543530266162,0.05874767226739833,0.032925951720065204,0.06453384941280116
2007-07-01,0.05856727763029943,0.05269572455972911,0.052764061324953926,0.006239964211789662,0.04465335582451324
2007-08-01,0.01954731733016323,0.02436514922200201,0.024351168993177488,0.02470894433722756,0.029162411130317378
2007-09-01,0.023303964586593708,0.026946081995256988,0.0269462057503319,0.028228980246184747,0.034954530407937404
2007-10-01,0.019484123855628917,0.019790422017002,0.01981283482636081,0.022983294786575896,0.020894723957899007
2007-11-01,-0.007850643385893589,-0.0017102376467670911,-0.0016002615866921358,0.022580071023638685,-0.004759057006747276
2007-12-01,-0.028948219691271704,-0.021829699668036016,-0.021745619639168774,0.014710493997259511,-0.012593427420390874
2008-01-01,-0.01545917314036604,-0.003565073418666903,-0.00353419717376507,0.016938955691048738,-0.011542543774268204
2008-02-01,-0.012971728044107084,0.0043530926122440665,0.004365601733492123,0.010035203353112305,-0.004260090164612299
2008-03-01,-0.026376070265762525,-0.01812845558270414,-0.018118968834279624,0.004950461651873796,-0.03046229797791586
2008-04-01,-0.017559741499991365,-0.009039482357998632,-0.00921261615182625,0.0014080635911393013,-0.012114557037098983
2008-05-01,-0.016557220059391635,-0.009871061227541254,-0.009846287450784242,0.007036196551320752,-0.012149583362592467
2008-06-01,-0.014275103707369712,-0.007973184608919643,-0.007950785005506706,0.003868812696722572,-0.013312463118962014
2008-07-01,-0.013000478179412273,-0.007501054182570509,-0.007466164144948789,-0.0018068377437607003,-0.006493501637290558
2008-08-01,-0.004263719804923845,0.0032605321395945503,0.00325873094065324,0.006847293272193222,0.0046551914571934284
2008-09-01,-0.014611909729517406,-0.013916043020249463,-0.01303918650079181,-0.01295949432931347,-0.011116133837750144
2008-10-01,-0.033419373359912984,-0.012115085306460712,-0.012971874239352513,-0.035373529832969736,-0.024829273069756762
2008-11-01,-0.035646087483015995,0.00045192543565098175,0.00015574969451241232,-0.03503763997504268,-0.05914720129926261
