Markettype,Trddt,Cdretwdos,Cdretwdtl
10,1996/4/12,-0.000917,-0.002967
5,1996/4/12,0.007703,0.007482
15,1996/4/12,0.006667,0.007097
21,1996/4/12,0.007703,0.007482
31,1996/4/12,0.006667,0.007097
37,1996/4/12,0.007703,0.007482
47,1996/4/12,0.006667,0.007097
53,1996/4/12,0.007703,0.007482
63,1996/4/12,0.006667,0.007097
10,1996/4/15,-0.003434,-0.002857
5,1996/4/15,0.003817,0.000718
15,1996/4/15,0.002959,0.000589
21,1996/4/15,0.003817,0.000718
31,1996/4/15,0.002959,0.000589
37,1996/4/15,0.003817,0.000718
47,1996/4/15,0.002959,0.000589
53,1996/4/15,0.003817,0.000718
63,1996/4/15,0.002959,0.000589
10,1996/4/16,0.0011,-0.001061
5,1996/4/16,0.016409,0.014882
15,1996/4/16,0.014589,0.01431
21,1996/4/16,0.016409,0.014882
31,1996/4/16,0.014589,0.01431
37,1996/4/16,0.016409,0.014882
47,1996/4/16,0.014589,0.01431
53,1996/4/16,0.016409,0.014882
63,1996/4/16,0.014589,0.01431
10,1996/4/17,-0.001484,-0.003055
5,1996/4/17,0.000773,0.001731
15,1996/4/17,0.000505,0.001558
21,1996/4/17,0.000773,0.001731
31,1996/4/17,0.000505,0.001558
37,1996/4/17,0.000773,0.001731
47,1996/4/17,0.000505,0.001558
53,1996/4/17,0.000773,0.001731
63,1996/4/17,0.000505,0.001558
10,1996/4/18,-0.005099,-0.003793
5,1996/4/18,0.023353,0.019374
15,1996/4/18,0.019832,0.018513
21,1996/4/18,0.023353,0.019374
31,1996/4/18,0.019832,0.018513
37,1996/4/18,0.023353,0.019374
47,1996/4/18,0.019832,0.018513
53,1996/4/18,0.023353,0.019374
63,1996/4/18,0.019832,0.018513
10,1996/4/19,0.009259,0.008571
5,1996/4/19,0.02223,0.023246
15,1996/4/19,0.020656,0.022695
21,1996/4/19,0.02223,0.023246
31,1996/4/19,0.020656,0.022695
37,1996/4/19,0.02223,0.023246
47,1996/4/19,0.020656,0.022695
53,1996/4/19,0.02223,0.023246
63,1996/4/19,0.020656,0.022695
10,1996/4/22,-0.00801,-0.007403
5,1996/4/22,0.00306,-0.000459
15,1996/4/22,0.001741,-0.000694
21,1996/4/22,0.00306,-0.000459
31,1996/4/22,0.001741,-0.000694
37,1996/4/22,0.00306,-0.000459
47,1996/4/22,0.001741,-0.000694
53,1996/4/22,0.00306,-0.000459
63,1996/4/22,0.001741,-0.000694
10,1996/4/23,-0.004638,-0.004895
5,1996/4/23,0.030204,0.024193
15,1996/4/23,0.02605,0.023204
21,1996/4/23,0.030204,0.024193
31,1996/4/23,0.02605,0.023204
37,1996/4/23,0.030204,0.024193
47,1996/4/23,0.02605,0.023204
53,1996/4/23,0.030204,0.024193
63,1996/4/23,0.02605,0.023204
10,1996/4/24,-0.003372,-0.001916
5,1996/4/24,0.076061,0.073158
15,1996/4/24,0.067378,0.070847
21,1996/4/24,0.076061,0.073158
31,1996/4/24,0.067378,0.070847
37,1996/4/24,0.076061,0.073158
47,1996/4/24,0.067378,0.070847
53,1996/4/24,0.076061,0.073158
63,1996/4/24,0.067378,0.070847
10,1996/4/25,-0.001388,-0.003418
5,1996/4/25,-0.031666,-0.028726
15,1996/4/25,-0.028224,-0.027844
21,1996/4/25,-0.031666,-0.028726
31,1996/4/25,-0.028224,-0.027844
37,1996/4/25,-0.031666,-0.028726
47,1996/4/25,-0.028224,-0.027844
53,1996/4/25,-0.031666,-0.028726
63,1996/4/25,-0.028224,-0.027844
10,1996/4/26,0.021387,0.021443
5,1996/4/26,0.10342,0.096346
15,1996/4/26,0.093491,0.093752
21,1996/4/26,0.10342,0.096346
31,1996/4/26,0.093491,0.093752
37,1996/4/26,0.10342,0.096346
47,1996/4/26,0.093491,0.093752
53,1996/4/26,0.10342,0.096346
63,1996/4/26,0.093491,0.093752
10,1996/4/29,0.037631,0.042552
5,1996/4/29,0.065106,0.054966
15,1996/4/29,0.062051,0.05457
21,1996/4/29,0.065106,0.054966
31,1996/4/29,0.062051,0.05457
37,1996/4/29,0.065106,0.054966
47,1996/4/29,0.062051,0.05457
53,1996/4/29,0.065106,0.054966
63,1996/4/29,0.062051,0.05457
10,1996/4/30,0.017258,0.017541
5,1996/4/30,-0.066951,-0.069372
15,1996/4/30,-0.057899,-0.066488
21,1996/4/30,-0.066951,-0.069372
31,1996/4/30,-0.057899,-0.066488
37,1996/4/30,-0.066951,-0.069372
47,1996/4/30,-0.057899,-0.066488
53,1996/4/30,-0.066951,-0.069372
63,1996/4/30,-0.057899,-0.066488
10,1996/5/2,0.000516,-0.000069
5,1996/5/2,-0.037347,-0.039286
15,1996/5/2,-0.032706,-0.037787
21,1996/5/2,-0.037347,-0.039286
31,1996/5/2,-0.032706,-0.037787
37,1996/5/2,-0.037347,-0.039286
47,1996/5/2,-0.032706,-0.037787
53,1996/5/2,-0.037347,-0.039286
63,1996/5/2,-0.032706,-0.037787
10,1996/5/3,-0.005727,-0.004372
5,1996/5/3,-0.004696,-0.005847
15,1996/5/3,-0.004822,-0.005791
21,1996/5/3,-0.004696,-0.005847
31,1996/5/3,-0.004822,-0.005791
37,1996/5/3,-0.004696,-0.005847
47,1996/5/3,-0.004822,-0.005791
53,1996/5/3,-0.004696,-0.005847
