IPO_date,IPO_number
2004/6/25,26000000.00 
2004/6/25,30000000.00 
2004/6/25,22000000.00 
2004/6/25,27000000.00 
2004/6/29,25000000.00 
2004/6/29,20000000.00 
2004/7/5,28000000.00 
2004/7/5,30000000.00 
2004/7/5,20000000.00 
2004/7/8,23400000.00 
2004/7/8,20000000.00 
2004/7/8,25000000.00 
2004/7/13,25000000.00 
2004/7/13,15000000.00 
2004/7/15,17600000.00 
2004/7/15,26000000.00 
2004/7/21,18000000.00 
2004/7/21,24000000.00 
2004/7/21,25000000.00 
2004/7/26,25700000.00 
2004/7/27,30000000.00 
2004/8/4,29000000.00 
2004/8/5,13400000.00 
2004/8/6,25000000.00 
2004/8/9,22000000.00 
2004/8/16,38000000.00 
2004/8/17,34000000.00 
2004/8/25,25000000.00 
2004/8/26,21600000.00 
2004/9/1,25000000.00 
2004/9/3,30000000.00 
2004/9/8,40000000.00 
2004/9/9,19000000.00 
2005/3/3,50000000.00 
2005/3/25,38500000.00 
2005/4/18,22000000.00 
2005/4/27,40000000.00 
2005/5/10,42000000.00 
2005/5/18,45000000.00 
2005/5/23,30000000.00 
2005/5/26,25000000.00 
2005/5/31,51000000.00 
2005/6/3,30000000.00 
2005/6/6,25000000.00 
2005/6/7,30000000.00 
2006/6/19,60000000.00 
2006/6/27,22000000.00 
2006/6/27,70000000.00 
2006/7/25,34000000.00 
2006/7/25,16800000.00 
2006/8/2,60000000.00 
2006/8/2,30000000.00 
2006/8/2,18000000.00 
2006/8/10,55000000.00 
2006/8/10,82000000.00 
2006/8/16,38000000.00 
2006/8/16,28500000.00 
2006/8/23,27500000.00 
2006/8/23,35500000.00 
2006/8/23,21600000.00 
2006/8/23,15000000.00 
2006/9/15,80000000.00 
2006/9/15,35000000.00 
2006/9/28,28300000.00 
2006/10/12,50000000.00 
2006/10/18,70000000.00 
2006/10/18,18000000.00 
2006/10/18,24000000.00 
2006/10/25,90000000.00 
2006/10/25,26000000.00 
